"V2" "media.MTT" "media.MTP" "nota.listas" "media.provas"
"46" "7C52AF6D" 1.68 0 0.29 3.68
"47" "6EBCD028" 0 0 0 0
"48" "4D41BBE3" 0 2.325 0 0
"49" "7BCB919D" 1.86 0.725 0.45 3.48
"50" "3FE45559" 1.68 1.925 0.085 1.96
"51" "37594F45" 1.86 0 0.345 3.16
"52" "107076E4" 1.53 2.125 0.155 1.36
"53" "15A3743B" 2.13 0.35 0.3 2.92
"54" "44D029E4" 0.51 1.825 0.095 0.6
"55" "5CD8B4FE" 1.902 0.575 0.16 1.76
"56" "15EA15E5" 2.4 1.175 0.23 0.96
"57" "ADBC154" 1.35 1.5 0.125 1.96
"58" "55BA642E" 1.86 1.075 0.185 2.44
"59" "7365085E" 0.84 0.375 0.315 0.36
"60" "8CAB3DB" 0.63 0.95 0.105 0.76
"61" "52C319A1" 1.8 1.325 0.21 1.2
"62" "60BAF986" 0 2.225 0.075 2.12
"63" "7DCD514D" 1.92 1.075 0.43 2.08
"64" "52E571B8" 1.53 1.45 0.105 0.84
"65" "5B8F96B8" 1.14 2.1 0.21 2.96
"66" "26EA2FA" 1.41 2.5 0.185 2.08
"67" "4B929F6" 2.1 1.5 0.445 3.08
"68" "51FE3830" 1.77 0 0.38 2.36
"69" "1567F200" 0 0 0 0
"70" "26CE28D" 0 1.775 0 0
"71" "E3A19A" 1.71 1.425 0.235 2.04
"72" "1A25F6BF" 1.62 0 0.265 1.92
"73" "D616D4F" 0 0.075 0 0
"74" "4195063D" 0.78 1.625 0.045 0.28
"75" "10E8A59E" 1.86 0.525 0.3 2.24
"76" "77089DA4" 1.47 1.175 0.04 1.2
"77" "74E3795C" 1.32 0.5 0.115 2.16
"78" "2777E5EE" 1.92 1.075 0.28 1.72
"79" "740BC298" 0.81 1.45 0.36 1.28
"80" "2556AF8C" 1.59 2.45 0.3 1.64
"81" "4C84103A" 2.13 0 0.425 3.44
"82" "5EC0B9E1" 0 2.375 0 0
"83" "21604216" 1.2 2.5 0.335 3
"84" "68FA8B73" 2.31 0 0.4 3.28
"85" "6A2A6BE9" 0 1.95 0 0
"86" "445E679D" 2.034 2.5 0.26 2.72
"87" "F952D04" 0.06 0.625 0.405 3.88
"88" "4DA185E9" 2.1 0 0 0
"89" "3BC456D5" 2.52 1.425 0.16 2.28
"90" "7BA159DE" 2.61 1.725 0.32 2.88
"91" "48295835" 1.77 1.225 0.35 3.76
"92" "5DEBE97D" 1.53 2.175 0.2 0.84
"93" "69DEEC46" 0.93 1.125 0.2 0.68
"94" "1B52DD48" 1.26 1.2 0.065 0.32
"95" "32B00B44" 2.43 1.825 0.19 1
"96" "347D5E36" 1.83 1.975 0.455 3.6
"97" "B30252C" 1.89 0.9 0.215 1.04
"98" "224511B3" 1.98 0.7 0.22 3.44
"99" "21C00083" 1.2 1.975 0.3 3.52
"100" "1CCD2085" 1.56 0.95 0.24 1.24
"101" "1823A1FA" 1.68 1.1 0.135 0.44
"102" "1C897F15" 2.1 1.475 0.365 2
"103" "6BA5CF35" 2.49 1.975 0.4 1.84
"104" "68151142" 0.93 1.575 0.42 3.64
"105" "70F93A3B" 1.77 1.2 0.24 1.52
"106" "5D73E08B" 1.41 1.45 0.36 2.2
"107" "1ABFFBDD" 1.95 2 0.17 1.4
"108" "79D7BD5B" 2.28 1.425 0.44 2.12
"109" "619B5433" 1.17 1.625 0.26 2.48
