questao,probabilidade,exercicio
3,0.4516129,76
3,0.43548387,77
3,0.41935484,78
3,0.0483871,79
3,0.25806452,80
3,0.37096774,81
3,0.41935484,82
3,0.12903226,83
3,0.08064516,84
3,0.27419355,85
4,0.8,1
4,0.92,2
4,0.92,3
4,0.92,4
4,0.88,5
4,0.92,6
4,0.92,7
4,0.92,8
4,0.96,9
4,0.96,10
4,0.92,11
4,0.88,12
4,0.88,13
4,0.8,14
4,0.88,15
4,0.84,16
4,1.0,17
4,1.0,18
4,0.88,19
4,0.96,20
4,0.88,21
4,0.96,22
4,0.96,23
4,0.92,24
4,0.8,25
4,0.96,26
4,0.84,27
4,0.88,28
4,0.92,29
4,0.96,31
4,0.8,32
4,0.84,33
4,0.84,34
4,0.84,35
4,0.92,36
4,0.84,37
4,0.8,38
4,0.88,39
4,0.64,40
4,0.48,41
4,0.52,42
4,0.8,44
4,0.68,45
4,0.64,46
4,0.72,47
4,0.84,48
4,0.8,49
4,0.68,50
4,0.88,51
4,0.84,52
4,0.76,53
4,0.92,54
4,0.72,55
4,0.6,56
4,0.64,57
4,0.68,58
4,0.84,59
4,0.72,60
4,0.84,61
4,0.84,62
4,0.84,63
4,0.88,64
4,0.84,66
4,0.84,67
4,0.84,68
4,0.84,69
4,0.88,70
4,0.12,71
4,0.76,72
4,0.36,73
4,0.68,74
4,0.8,75
4,0.76,76
4,0.72,77
4,0.56,78
4,0.12,79
4,0.48,80
4,0.48,81
4,0.48,82
4,0.2,83
4,0.12,84
4,0.32,85
